
# PHASE CPU run 1: frame p50 17.98 ms mean 17.97 p99 35.91 over 334 frames, renderW 512 renderH 288 pixelRatio 0.4 devicePixelRatio 1 resScale 0.4
phase                calls   meanMs      p50      p99     maxMs   %frame
composer.render        337    16.13    15.86    22.21     55.58    89.77
hud.update             337     0.83     0.81     1.20      1.80     4.61
traffic.update         337     0.07     0.06     0.17      0.64     0.39
audio.update           337     0.06     0.05     0.11      0.41     0.31
physics.step           337     0.04     0.03     0.07      0.12     0.20
camRig.update          337     0.03     0.03     0.06      0.09     0.16
world.update           337     0.01     0.01     0.04      0.04     0.08
car.update             337     0.01     0.01     0.04      0.06     0.07
boost.update           337     0.01     0.00     0.01      0.03     0.03
sky.update             337     0.00     0.00     0.01      0.01     0.02
crash.update             0     0.00      -        -        0.00     0.00
-- accounted                  17.19                                95.64
-- tick() only                 1.05
-- unaccounted                 0.78                                 4.36

# PHASE CPU run 2: frame p50 18.29 ms mean 18.27 p99 35.76 over 329 frames, renderW 512 renderH 288 pixelRatio 0.4 devicePixelRatio 1 resScale 0.4
phase                calls   meanMs      p50      p99     maxMs   %frame
composer.render        332    16.33    16.07    23.94     51.39    89.39
hud.update             332     0.86     0.83     1.34      1.84     4.71
traffic.update         332     0.06     0.06     0.13      0.16     0.35
audio.update           332     0.06     0.05     0.13      0.38     0.31
physics.step           332     0.04     0.03     0.09      0.10     0.20
camRig.update          332     0.03     0.03     0.08      0.73     0.17
car.update             332     0.01     0.01     0.04      0.06     0.07
world.update           332     0.01     0.01     0.03      0.04     0.06
boost.update           332     0.01     0.00     0.03      0.04     0.03
sky.update             332     0.00     0.00     0.01      0.02     0.02
crash.update             0     0.00      -        -        0.00     0.00
-- accounted                  17.41                                95.31
-- tick() only                 1.08
-- unaccounted                 0.86                                 4.69

json /Users/robray/fc/demos/burnout-gauntlet/verdicts/wave-s/perf-phase-res040.json
