
# STALL TIMELINE  793 sampled frames over 40 s, threshold 50 ms. t=0 is window.__ready.
# renderW 1280 renderH 720 pixelRatio 1 devicePixelRatio 1
# forced-GC kill-control: window.gc() took 11.10 ms on this heap
# frameStats over the whole window: p50 33.47 p99 291.49 max 3213.45 n 748

      t+s      dtMs  dProbe  dProgs   dGeos   dTexs    dHeapKB  progs   geos   texs
    -4.18     67.03       0       0       0       0       0.00     -1     -1     -1
    -4.05    127.47       0       0       0       0       0.00     -1     -1     -1
    -1.78   2261.02       0       0       0       0       0.00     -1     -1     -1
    -1.27    507.17       0       0       0       0       0.00     -1     -1     -1
    -0.60    661.43       0       0       0       0       0.00     -1     -1     -1
    -0.30    291.49       0       0       0       0       0.00     -1     -1     -1
    -0.22     82.93       0       5      14       5       0.00      4     13      4
    -0.04    168.95       0      54       0       0       0.00     58     13      4
     3.23   3225.65       0      74     379      88       0.00    132    392     92
     3.34     80.13       1       0       0       0       0.00    132    392     92
     3.50     75.18       0       0       0       0       0.00    132    392     92
     5.03   1495.74       0       0       0       0       0.00    132    392     92
     5.32    144.88       0       0       0       0       0.00    132    392     92
     5.54    219.88       0       0       0       0       0.00    132    392     92
     5.74    194.97       0       0       0       0       0.00    132    392     92
     5.99    251.90       0       0       0       0       0.00    132    392     92
     6.28    289.29       0       0       0       0       0.00    132    392     92
     6.46    183.66       0       0       0       0       0.00    132    392     92
     6.64    184.14       0       0       0       0       0.00    132    392     92
     6.90    256.83       0       0       0       0       0.00    132    392     92
     7.14    238.23       0       0       0       0       0.00    132    392     92
     7.34    199.76       0       0       0       0       0.00    132    392     92
     7.57    231.55       0       0       0       0       0.00    132    392     92
     7.74    173.04       0       0       0       0       0.00    132    392     92
     8.00    258.96       0       0       0       0       0.00    132    392     92
     8.20    191.97       0       0       0       0       0.00    132    392     92
     8.42    225.65       0       0       0       0       0.00    132    392     92
     8.64    215.28       0       0       0       0       0.00    132    392     92
     8.88    244.93       0       0       0       0       0.00    132    392     92
     9.13    250.77       0       0       0       0       0.00    132    392     92
     9.39    255.68       0       0       0       0       0.00    132    392     92
     9.63    244.31       0       0       0       0       0.00    132    392     92
     9.88    252.34       0       0       0       0       0.00    132    392     92
    10.11    223.16       0       0       0       0       0.00    132    392     92
    10.42    309.96       0       0       0       0       0.00    132    392     92
    10.59    168.06       0       0       0       0       0.00    132    392     92
    10.77    181.11       0       0       0       0       0.00    132    392     92
    10.93    162.94       0       0       0       0       0.00    132    392     92
    11.16    228.32       0       0       0       0       0.00    132    392     92
    11.42    265.16       0       0       0       0       0.00    132    392     92
    11.66    240.59       0       0       0       0       0.00    132    392     92
    11.86    192.49       0       0       0       0       0.00    132    392     92
    12.04    188.81       0       0       0       0       0.00    132    392     92
    12.26    214.51       0       0       0       0       0.00    132    392     92
    12.50    237.10       0       0       0       0       0.00    132    392     92
    12.69    197.75       0       0       0       0       0.00    132    392     92
    12.96    265.92       0       0       0       0       0.00    132    392     92
    13.16    197.56       0       0       0       0       0.00    132    392     92
    13.44    282.70       0       0       0       0       0.00    132    392     92
    13.70    262.76       0       0       0       0       0.00    132    392     92
    13.80    100.07       0       0       0       0       0.00    132    392     92
    14.03    223.18       0       0       0       0       0.00    132    392     92
    14.26    238.50       0       0       0       0       0.00    132    392     92
    14.51    246.38       0       0       0       0       0.00    132    392     92
    14.66    152.05       0       0       0       0       0.00    132    392     92
    14.91    248.30       0       0       0       0       0.00    132    392     92
    15.16    250.01       0       0       0       0       0.00    132    392     92
    15.35    184.70       0       0       0       0       0.00    132    392     92
    15.57    222.75       0       0       0       0       0.00    132    392     92
    15.77    199.75       0       0       0       0       0.00    132    392     92
    15.98    209.62       0       0       0       0       0.00    132    392     92
    16.21    229.38       0       0       0       0       0.00    132    392     92
    16.49    277.47       0       0       0       0       0.00    132    392     92
    16.68    191.05       0       0       0       0       0.00    132    392     92
    16.90    220.15       0       0       0       0       0.00    132    392     92
    17.13    229.89       0       0       0       0       0.00    132    392     92
    17.37    242.33       0       0       0       0       0.00    132    392     92
    17.56    189.94       0       0       0       0       0.00    132    392     92
    17.81    251.17       0       0       0       0       0.00    132    392     92
    18.04    230.96       0       0       0       0       0.00    132    392     92
    18.36    319.78       0       0       0       0       0.00    132    392     92
    18.58    224.52       0       0       0       0       0.00    132    392     92
    18.79    208.98       0       0       0       0       0.00    132    392     92
    19.01    217.88       0       0       0       0       0.00    132    392     92
    19.30    285.15       0       0       0       0       0.00    132    392     92
    19.53    230.34       0       0       0       0       0.00    132    392     92
    19.73    204.64       0       0       0       0       0.00    132    392     92
    19.91    174.56       0       0       0       0       0.00    132    392     92
    20.11    206.56       0       0       0       0       0.00    132    392     92
    20.30    190.24       0       0       0       0       0.00    132    392     92
    20.53    225.27       0       0       0       0       0.00    132    392     92
    20.84    308.59       0       0       0       0       0.00    132    392     92
    21.13    295.33       0       0       0       0       0.00    132    392     92
    21.38    247.42       0       0       0       0       0.00    132    392     92
    21.62    244.84       0       0       0       0       0.00    132    392     92
    21.86    232.63       0       0       0       0       0.00    132    392     92
    22.17    316.49       0       0       0       0       0.00    132    392     92
    22.40    225.55       0       0       0       0       0.00    132    392     92
    22.67    271.66       0       0       0       0       0.00    132    392     92
    22.94    272.24       0       0       0       0       0.00    132    392     92
    23.14    200.20       0       0       0       0       0.00    132    392     92
    23.34    192.25       0       0       0       0       0.00    132    392     92
    23.39     57.94       0       0       0       0       0.00    132    392     92
    41.61     51.81       0       0       0       0       0.00    132    392     92

# WITHIN-WINDOW PROBE ATTRIBUTION (same window, frames split by whether car.js re-baked
# its 512-px reflection cube on that frame; first 1.5 s after __ready dropped)
  frames WITH a refresh   n 1  mean 80.13 ms  p50 80.13 ms
  frames WITHOUT one      n 741  mean 56.38 ms  p50 33.61 ms
  -> 0.13% of frames carry a refresh, each costing 23.75 ms, i.e. 0.03 ms of the mean frame

# 94 stalls total, 86 of them AFTER __ready. Sum of post-ready stall time 23146.14 ms.
# gaps between post-ready stalls (s): 0.12, 0.16, 1.54, 0.29, 0.22, 0.19, 0.25, 0.29, 0.18, 0.18, 0.26, 0.24, 0.20, 0.23, 0.17, 0.26, 0.19, 0.23, 0.22, 0.24, 0.25, 0.26, 0.24, 0.25, 0.22, 0.31, 0.17, 0.18, 0.16, 0.23, 0.27, 0.24, 0.19, 0.19, 0.21, 0.24, 0.20, 0.27, 0.20, 0.28, 0.26, 0.10, 0.22, 0.24, 0.25, 0.15, 0.25, 0.25, 0.18, 0.22, 0.20, 0.21, 0.23, 0.28, 0.19, 0.22, 0.23, 0.24, 0.19, 0.25, 0.23, 0.32, 0.22, 0.21, 0.22, 0.29, 0.23, 0.20, 0.17, 0.21, 0.19, 0.23, 0.31, 0.30, 0.25, 0.24, 0.23, 0.32, 0.23, 0.27, 0.27, 0.20, 0.19, 0.06, 18.22

json /Users/robray/fc/demos/burnout-gauntlet/verdicts/wave-s/perf-stall-cruise-noprobe.json
