
# STALL TIMELINE  211 sampled frames over 40 s, threshold 50 ms. t=0 is window.__ready.
# renderW 1280 renderH 720 pixelRatio 1 devicePixelRatio 1
# forced-GC kill-control: window.gc() took 126.27 ms on this heap
# frameStats over the whole window: p50 34.46 p99 501.37 max 2031.47 n 230

      t+s      dtMs  dProbe  dProgs   dGeos   dTexs    dHeapKB  progs   geos   texs
    -1.93     54.61       0       0       0       0       0.00     -1     -1     -1
    -1.87     59.17       0       0       0       0       0.00     -1     -1     -1
    -0.97    895.83       0       0       0       0       0.00     -1     -1     -1
    -0.74    228.36       0       0       0       0       0.00     -1     -1     -1
    -0.44    295.03       0       0       0       0       0.00     -1     -1     -1
    -0.28    164.04       0       0       0       0       0.00     -1     -1     -1
    -0.20     71.60       0       5      14       5       0.00      4     13      4
    -0.02    174.62       0      54       0       0       0.00     58     13      4
     2.05   2048.25       0      74     379      88       0.00    132    392     92
     2.72    648.62       0       0       0       0       0.00    132    392     92
     2.92     62.59       1       0       0       0       0.00    132    392     92
     3.12    134.81       1       0       0       0       0.00    132    392     92
     3.32    154.51       1       0       0       0       0.00    132    392     92
     3.51    154.79       1       0       0       0       0.00    132    392     92
     3.69    148.24       1       0       0       0       0.00    132    392     92
     3.81     99.78       0       0       0       0       0.00    132    392     92
     3.87     53.14       1       0       0       0       0.00    132    392     92
     4.05    166.75       1       0       0       0       0.00    132    392     92
     4.22    125.57       1       0       0       0       0.00    132    392     92
     4.50    237.31       1       0       0       0       0.00    132    392     92
     4.67    125.40       1       0       0       0       0.00    132    392     92
     4.79    101.62       0       0       0       0       0.00    132    392     92
     4.89    103.85       1       0       0       0       0.00    132    392     92
     5.07    149.06       1       0       0       0       0.00    132    392     92
     5.24    143.76       1       0       0       0       0.00    132    392     92
     5.36     91.88       0       0       0       0       0.00    132    392     92
     5.42     55.63       1       0       0       0       0.00    132    392     92
     5.54    101.54       0       0       0       0       0.00    132    392     92
     5.64     94.26       1       0       0       0       0.00    132    392     92
     5.81    134.74       1       0       0       0       0.00    132    392     92
     5.97    124.74       1       0       0       0       0.00    132    392     92
     6.13    126.47       1       0       0       0       0.00    132    392     92
     6.29    121.61       1       0       0       0       0.00    132    392     92
     6.44    127.25       1       0       0       0       0.00    132    392     92
     6.58     86.88       1       0       0       0       0.00    132    392     92
     6.70     95.41       1       0       0       0       0.00    132    392     92
     6.82     90.41       1       0       0       0       0.00    132    392     92
     6.94     64.12       1       0       0       0       0.00    132    392     92
     7.05     97.54       1       0       0       0       0.00    132    392     92
     7.17     98.00       1       0       0       0       0.00    132    392     92
     7.28     91.84       1       0       0       0       0.00    132    392     92
     7.41    110.58       1       0       0       0       0.00    132    392     92
     7.53     98.14       1       0       0       0       0.00    132    392     92
     7.67    112.86       1       0       0       0       0.00    132    392     92
     7.79    101.71       1       0       0       0       0.00    132    392     92
     7.94    118.93       1       0       0       0       0.00    132    392     92
     8.07    112.47       1       0       0       0       0.00    132    392     92
     8.23    137.98       1       0       0       0       0.00    132    392     92
     8.39    128.88       1       0       0       0       0.00    132    392     92
     8.56    150.50       1       0       0       0       0.00    132    392     92
     8.73    144.71       1       0       0       0       0.00    132    392     92
     8.94    177.13       1       0       0       0       0.00    132    392     92
     9.15    188.07       1       0       0       0       0.00    132    392     92
     9.40    226.00       1       0       0       0       0.00    132    392     92
     9.69    264.42       1       0       0       0       0.00    132    392     92
    10.21    492.20       1       0       0       0       0.00    132    392     92
    10.73    490.83       1       0       0       0       0.00    132    392     92
    11.23    469.72       1       0       0       0       0.00    132    392     92
    11.66    394.49       1       0       0       0       0.00    132    392     92
    12.03    352.66       1       0       0       0       0.00    132    392     92
    12.34    295.33       1       0       0       0       0.00    132    392     92
    12.43     51.95       0       0       0       0       0.00    132    392     92
    12.66    229.38       1       0       0       0       0.00    132    392     92
    12.90    193.02       1       0       0       0       0.00    132    392     92
    13.05    113.61       1       0       0       0       0.00    132    392     92
    13.28    195.79       1       0       0       0       0.00    132    392     92
    13.42     99.78       1       0       0       0       0.00    132    392     92
    13.93    484.57       1       0       0       0       0.00    132    392     92
    14.07    134.24       0       0       0       0       0.00    132    392     92
    14.21    105.77       0       0       0       0       0.00    132    392     92
    14.32    111.95       1       0       0       0       0.00    132    392     92
    14.56    191.51       1       0       0       0       0.00    132    392     92
    14.90    310.42       1       0       0       0       0.00    132    392     92
    14.98     75.42       0       0       0       0       0.00    132    392     92
    15.35    374.99       1       0       0       0       0.00    132    392     92
    15.48    108.18       1       0       0       0       0.00    132    392     92
    15.69    187.09       1       0       0       0       0.00    132    392     92
    15.86    145.84       1       0       0       0       0.00    132    392     92
    16.05    169.69       1       0       0       0       0.00    132    392     92

# WITHIN-WINDOW PROBE ATTRIBUTION (same window, frames split by whether car.js re-baked
# its 512-px reflection cube on that frame; first 1.5 s after __ready dropped)
  frames WITH a refresh   n 63  mean 169.74 ms  p50 134.74 ms
  frames WITHOUT one      n 106  mean 31.48 ms  p50 19.76 ms
  -> 37.28% of frames carry a refresh, each costing 138.27 ms, i.e. 51.54 ms of the mean frame

# 79 stalls total, 71 of them AFTER __ready. Sum of post-ready stall time 14111.15 ms.
# gaps between post-ready stalls (s): 0.67, 0.21, 0.20, 0.19, 0.19, 0.18, 0.13, 0.05, 0.19, 0.17, 0.28, 0.17, 0.12, 0.10, 0.18, 0.17, 0.12, 0.06, 0.13, 0.09, 0.17, 0.16, 0.16, 0.16, 0.15, 0.14, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11, 0.13, 0.12, 0.13, 0.13, 0.14, 0.14, 0.16, 0.15, 0.18, 0.17, 0.21, 0.21, 0.25, 0.28, 0.53, 0.52, 0.49, 0.43, 0.37, 0.32, 0.08, 0.23, 0.24, 0.16, 0.23, 0.14, 0.51, 0.13, 0.15, 0.11, 0.23, 0.34, 0.08, 0.37, 0.13, 0.21, 0.17, 0.19

json /Users/robray/fc/demos/burnout-gauntlet/verdicts/wave-s/perf-stall-cruise.json
